Date,price
2021-10-21,91.35
2021-10-22,86.66
2021-10-23,86.66
2021-10-24,86.66
2021-10-25,86.08
2021-10-26,88.77
2021-10-27,87.34
2021-10-28,84.94
2021-10-29,74.34
2021-10-30,74.34
2021-10-31,74.34
2021-11-01,62.07
2021-11-02,63.88
2021-11-03,68.16
2021-11-04,77.57
2021-11-05,71.56
2021-11-06,71.56
2021-11-07,71.56
2021-11-08,73.18
2021-11-09,77.39
2021-11-10,71.7
2021-11-11,69.9
2021-11-12,73.77
2021-11-13,73.77
2021-11-14,73.77
2021-11-15,73.34
2021-11-16,79.58
2021-11-17,93.6
2021-11-18,93.83
2021-11-19,92.72
2021-11-20,92.72
2021-11-21,92.72
2021-11-22,87.16
2021-11-23,84.23
2021-11-24,91.06
2021-11-25,93.78
2021-11-26,92.28
2021-11-27,92.28
2021-11-28,92.28
2021-11-29,87.27
2021-11-30,93.11
2021-12-01,91.01
2021-12-02,96.2
2021-12-03,93.73
2021-12-04,93.73
2021-12-05,93.73
2021-12-06,89.96
2021-12-07,89.54
2021-12-08,95.31
2021-12-09,103.21
2021-12-10,100.79
2021-12-11,100.79
2021-12-12,100.79
2021-12-13,104.74
2021-12-14,115.99
2021-12-15,127.47
2021-12-16,129.75
2021-12-17,137.49
2021-12-18,137.49
2021-12-19,137.49
2021-12-20,135.44
2021-12-21,148.48
2021-12-22,183.11
2021-12-23,171.03
2021-12-24,126.79
2021-12-25,126.79
2021-12-26,126.79
2021-12-27,111.2
2021-12-28,111.5
2021-12-29,110.9
2021-12-30,87.85
2021-12-31,78.5
2022-01-01,78.5
2022-01-02,78.5
2022-01-03,111.2
2022-01-04,72.01
2022-01-05,86.04
2022-01-06,92.28
2022-01-07,94.88
2022-01-08,94.88
2022-01-09,94.88
2022-01-10,86.04
2022-01-11,84.8
2022-01-12,80.0
2022-01-13,75.63
2022-01-14,85.8
2022-01-15,85.8
2022-01-16,85.8
2022-01-17,85.35
2022-01-18,76.26
2022-01-19,78.99
2022-01-20,74.52
2022-01-21,75.4
2022-01-22,75.4
2022-01-23,75.4
2022-01-24,80.14
2022-01-25,93.38
2022-01-26,93.18
2022-01-27,91.14
2022-01-28,91.22
2022-01-29,91.22
2022-01-30,91.22
2022-01-31,91.18
2022-02-01,83.37
2022-02-02,75.52
2022-02-03,76.55
2022-02-04,79.25
2022-02-05,79.25
2022-02-06,79.25
2022-02-07,81.72
2022-02-08,77.85
2022-02-09,76.3
2022-02-10,74.95
2022-02-11,74.58
2022-02-12,74.58
2022-02-13,74.58
2022-02-14,76.47
2022-02-15,79.94
2022-02-16,68.63
2022-02-17,68.64
2022-02-18,74.59
2022-02-19,74.59
2022-02-20,74.59
2022-02-21,73.2
2022-02-22,71.78
2022-02-23,79.05
2022-02-24,89.08
2022-02-25,123.55
2022-02-26,123.55
2022-02-27,123.55
2022-02-28,90.99
2022-03-01,98.68
2022-03-02,123.33
2022-03-03,175.05
2022-03-04,151.27
2022-03-05,151.27
2022-03-06,151.27
2022-03-07,190.28
2022-03-08,216.04
2022-03-09,209.16
2022-03-10,149.56
2022-03-11,121.51
2022-03-12,121.51
2022-03-13,121.51
2022-03-14,129.03
2022-03-15,109.97
2022-03-16,110.98
2022-03-17,97.42
2022-03-18,102.12
2022-03-19,102.12
2022-03-20,102.12
2022-03-21,97.92
2022-03-22,92.38
2022-03-23,94.27
2022-03-24,112.77
2022-03-25,102.18
2022-03-26,102.18
2022-03-27,102.18
2022-03-28,96.51
2022-03-29,101.39
2022-03-30,107.68
2022-03-31,116.45
2022-04-01,124.93
2022-04-02,124.93
2022-04-03,124.93
2022-04-04,111.53
2022-04-05,110.43
2022-04-06,107.9
2022-04-07,105.94
2022-04-08,102.97
2022-04-09,102.97
2022-04-10,102.97
2022-04-11,102.99
2022-04-12,100.66
2022-04-13,102.73
2022-04-14,104.3
2022-04-15,104.3
2022-04-16,104.3
2022-04-17,104.3
2022-04-18,104.3
2022-04-19,91.38
2022-04-20,91.86
2022-04-21,91.51
2022-04-22,97.67
2022-04-23,97.67
2022-04-24,97.67
2022-04-25,92.08
2022-04-26,93.97
2022-04-27,97.94
2022-04-28,105.76
2022-04-29,99.27
2022-04-30,99.27
2022-05-01,99.27
2022-05-02,99.27
2022-05-03,96.51
2022-05-04,97.07
2022-05-05,101.81
2022-05-06,99.04
2022-05-07,99.04
2022-05-08,99.04
2022-05-09,89.56
2022-05-10,84.36
2022-05-11,84.21
2022-05-12,81.93
2022-05-13,91.76
2022-05-14,91.76
2022-05-15,91.76
2022-05-16,91.49
2022-05-17,91.9
2022-05-18,93.49
2022-05-19,91.31
2022-05-20,87.82
2022-05-21,87.82
2022-05-22,87.82
2022-05-23,84.66
2022-05-24,77.81
2022-05-25,79.39
2022-05-26,80.71
2022-05-27,81.85
2022-05-28,81.85
2022-05-29,81.85
2022-05-30,83.38
2022-05-31,87.86
2022-06-01,86.84
2022-06-02,111.2
2022-06-03,111.5
2022-06-04,111.5
2022-06-05,111.5
2022-06-06,77.29
2022-06-07,78.34
2022-06-08,78.21
2022-06-09,77.1
2022-06-10,82.22
2022-06-11,82.22
2022-06-12,82.22
2022-06-13,79.68
2022-06-14,80.81
2022-06-15,96.19
2022-06-16,114.65
2022-06-17,118.12
2022-06-18,118.12
2022-06-19,118.12
2022-06-20,108.57
2022-06-21,116.24
2022-06-22,122.99
2022-06-23,125.05
2022-06-24,128.91
2022-06-25,128.91
2022-06-26,128.91
2022-06-27,126.1
2022-06-28,128.52
2022-06-29,129.73
2022-06-30,139.84
2022-07-01,144.32
2022-07-02,144.32
2022-07-03,144.32
2022-07-04,147.56
2022-07-05,162.52
2022-07-06,162.77
2022-07-07,172.32
2022-07-08,185.02
2022-07-09,185.02
2022-07-10,185.02
2022-07-11,169.3
2022-07-12,163.3
2022-07-13,173.62
2022-07-14,181.52
2022-07-15,171.54
2022-07-16,171.54
2022-07-17,171.54
2022-07-18,153.8
2022-07-19,155.19
2022-07-20,151.56
2022-07-21,154.1
2022-07-22,155.52
2022-07-23,155.52
2022-07-24,155.52
2022-07-25,160.18
2022-07-26,175.08
2022-07-27,201.96
2022-07-28,205.92
2022-07-29,199.76
2022-07-30,199.76
2022-07-31,199.76
2022-08-01,191.87
2022-08-02,199.36
2022-08-03,200.28
2022-08-04,195.63
2022-08-05,198.68
2022-08-06,198.68
2022-08-07,198.68
2022-08-08,192.97
2022-08-09,191.35
2022-08-10,191.63
2022-08-11,201.95
2022-08-12,205.9
2022-08-13,205.9
2022-08-14,205.9
2022-08-15,199.93
2022-08-16,216.89
2022-08-17,225.1
2022-08-18,225.05
2022-08-19,239.14
2022-08-20,239.14
2022-08-21,239.14
2022-08-22,245.78
2022-08-23,245.78
2022-08-24,267.65
2022-08-25,292.12
2022-08-26,311.26
2022-08-27,311.26
2022-08-28,311.26
2022-08-29,311.26
2022-08-30,312.74
2022-08-31,248.82
2022-09-01,230.66
2022-09-02,224.66
2022-09-03,224.66
2022-09-04,224.66
2022-09-05,180.1
2022-09-06,217.43
2022-09-07,230.88
2022-09-08,209.1
2022-09-09,209.21
2022-09-10,209.21
2022-09-11,209.21
2022-09-12,190.74
2022-09-13,186.32
2022-09-14,197.73
2022-09-15,217.38
2022-09-16,199.61
2022-09-17,199.61
2022-09-18,199.61
2022-09-19,165.41
2022-09-20,162.87
2022-09-21,174.08
2022-09-22,171.54
2022-09-23,171.97
2022-09-24,171.97
2022-09-25,171.97
2022-09-26,168.68
2022-09-27,168.64
2022-09-28,203.25
2022-09-29,200.6
2022-09-30,179.23
2022-10-01,179.23
2022-10-02,179.23
2022-10-03,159.28
2022-10-04,127.72
2022-10-05,127.72
2022-10-06,97.97
2022-10-07,128.03
2022-10-08,128.03
2022-10-09,128.03
2022-10-10,96.38
2022-10-11,100.88
2022-10-12,101.58
2022-10-13,102.18
2022-10-14,89.56
2022-10-15,89.56
2022-10-16,89.56
2022-10-17,64.74
2022-10-18,61.51
2022-10-19,64.4
2022-10-20,68.49
2022-10-21,58.12
2022-10-22,58.12
2022-10-23,58.12
2022-10-24,39.01
2022-10-25,26.68
2022-10-26,38.88
2022-10-27,39.25
2022-10-28,28.06
2022-10-29,28.06
2022-10-30,28.06
2022-10-31,34.56
2022-11-01,31.02
2022-11-02,22.0
2022-11-03,48.82
2022-11-04,67.88
2022-11-05,67.88
2022-11-06,67.88
2022-11-07,56.64
2022-11-08,63.17
2022-11-09,89.8
2022-11-10,87.23
2022-11-11,74.79
2022-11-12,74.79
2022-11-13,74.79
2022-11-14,67.29
2022-11-15,107.91
2022-11-16,115.54
2022-11-17,100.28
2022-11-18,106.79
2022-11-19,106.79
2022-11-20,106.79
2022-11-21,109.88
2022-11-22,112.06
2022-11-23,116.69
2022-11-24,126.38
2022-11-25,118.85
2022-11-26,118.85
2022-11-27,118.85
2022-11-28,125.58
2022-11-29,124.58
2022-11-30,133.09
2022-12-01,139.9
2022-12-02,136.09
2022-12-03,136.09
2022-12-04,136.09
2022-12-05,133.42
2022-12-06,135.08
2022-12-07,139.68
2022-12-08,148.72
2022-12-09,137.03
2022-12-10,137.03
2022-12-11,137.03
2022-12-12,143.22
2022-12-13,137.64
2022-12-14,138.04
2022-12-15,132.42
2022-12-16,134.63
2022-12-17,134.63
2022-12-18,134.63
2022-12-19,116.85
2022-12-20,106.82
2022-12-21,104.92
2022-12-22,94.39
2022-12-23,88.93
2022-12-24,88.93
2022-12-25,88.93
2022-12-26,111.2
2022-12-27,111.5
2022-12-28,79.81
2022-12-29,76.84
2022-12-30,79.41
2022-12-31,79.41
2023-01-01,79.41
2023-01-02,111.2
2023-01-03,66.65
2023-01-04,68.3
2023-01-05,62.45
2023-01-06,66.36
2023-01-07,66.36
2023-01-08,66.36
2023-01-09,65.65
2023-01-10,71.55
2023-01-11,66.38
2023-01-12,62.72
2023-01-13,64.91
2023-01-14,64.91
2023-01-15,64.91
2023-01-16,62.88
2023-01-17,55.66
2023-01-18,59.83
2023-01-19,62.32
2023-01-20,61.27
2023-01-21,61.27
2023-01-22,61.27
2023-01-23,68.56
2023-01-24,66.64
2023-01-25,58.81
2023-01-26,57.4
2023-01-27,55.75
2023-01-28,55.75
2023-01-29,55.75
2023-01-30,56.31
2023-01-31,55.68
2023-02-01,58.29
2023-02-02,59.84
2023-02-03,56.2
2023-02-04,56.2
2023-02-05,56.2
2023-02-06,59.61
2023-02-07,59.43
2023-02-08,55.65
2023-02-09,54.7
2023-02-10,53.78
2023-02-11,53.78
2023-02-12,53.78
2023-02-13,54.86
2023-02-14,52.61
2023-02-15,53.42
2023-02-16,54.71
2023-02-17,51.57
2023-02-18,51.57
2023-02-19,51.57
2023-02-20,48.76
2023-02-21,49.53
2023-02-22,49.37
2023-02-23,50.53
2023-02-24,50.41
2023-02-25,50.41
2023-02-26,50.41
2023-02-27,52.04
2023-02-28,48.43
2023-03-01,47.64
2023-03-02,48.58
2023-03-03,47.78
2023-03-04,47.78
2023-03-05,47.78
2023-03-06,46.43
2023-03-07,43.75
2023-03-08,45.2
2023-03-09,43.33
2023-03-10,45.75
2023-03-11,45.75
2023-03-12,45.75
2023-03-13,54.01
2023-03-14,49.17
2023-03-15,45.44
2023-03-16,42.98
2023-03-17,44.93
2023-03-18,44.93
2023-03-19,44.93
2023-03-20,41.93
2023-03-21,39.16
2023-03-22,41.22
